Month,DayOfWeek,AirTime,Distance,TaxiIn,TaxiOut,Delay,jfk_origin
1,4,72.0,340,15.0,18.0,ontime,0
1,4,86.0,589,1.0,33.0,late,1
1,4,90.0,589,1.0,29.0,late,1
1,4,44.0,267,5.0,17.0,ontime,0
1,4,88.0,508,19.0,12.0,late,0
1,4,49.0,213,27.0,24.0,late,0
1,4,48.0,213,5.0,47.0,late,1
1,4,83.0,425,5.0,37.0,ontime,1
1,5,42.0,209,4.0,29.0,ontime,1
1,5,79.0,508,7.0,33.0,ontime,1
1,5,55.0,213,25.0,31.0,late,0
1,5,73.0,425,15.0,20.0,late,0
1,5,64.0,267,7.0,26.0,late,0
1,5,65.0,426,4.0,40.0,late,1
1,5,195.0,1522,3.0,11.0,ontime,0
1,5,202.0,1522,10.0,23.0,ontime,1
1,5,33.0,94,5.0,44.0,ontime,1
1,5,104.0,589,10.0,18.0,ontime,0
1,5,126.0,892,5.0,19.0,late,0
1,5,35.0,106,5.0,17.0,ontime,0
1,5,71.0,426,4.0,33.0,ontime,1
1,5,130.0,766,8.0,20.0,ontime,0
1,5,63.0,267,9.0,16.0,ontime,0
1,5,41.0,213,4.0,20.0,ontime,0
1,5,90.0,589,4.0,12.0,ontime,0
1,5,39.0,187,8.0,38.0,late,1
1,5,43.0,187,11.0,25.0,ontime,0
1,5,43.0,187,10.0,33.0,ontime,1
1,5,44.0,187,41.0,23.0,late,0
1,5,94.0,589,4.0,12.0,ontime,1
1,5,56.0,213,6.0,32.0,late,1
1,6,44.0,209,5.0,31.0,ontime,1
1,6,120.0,760,10.0,25.0,late,1
1,6,97.0,760,12.0,26.0,ontime,0
1,6,68.0,425,19.0,18.0,ontime,0
1,6,136.0,892,3.0,32.0,ontime,1
1,6,188.0,1522,14.0,15.0,ontime,0
1,6,30.0,94,4.0,23.0,ontime,1
1,6,119.0,766,5.0,22.0,ontime,1
1,6,118.0,267,12.0,13.0,late,0
1,6,114.0,766,7.0,14.0,late,0
1,6,88.0,589,10.0,25.0,late,0
1,6,126.0,740,10.0,54.0,late,1
1,6,98.0,589,3.0,37.0,ontime,1
1,6,21.0,94,81.0,29.0,late,0
1,6,106.0,664,10.0,28.0,ontime,1
1,6,56.0,213,8.0,46.0,late,1
1,7,50.0,213,5.0,24.0,ontime,1
1,7,87.0,508,13.0,35.0,ontime,1
1,7,37.0,184,15.0,36.0,late,1
1,7,108.0,760,6.0,26.0,late,0
1,7,123.0,740,16.0,52.0,late,1
1,7,222.0,1522,13.0,10.0,late,0
1,7,207.0,1522,10.0,33.0,late,1
1,7,27.0,94,8.0,32.0,ontime,1
1,7,109.0,766,10.0,41.0,ontime,1
1,7,70.0,426,2.0,23.0,ontime,1
1,7,78.0,426,11.0,10.0,late,0
1,7,119.0,740,13.0,23.0,late,0
1,7,121.0,740,12.0,63.0,late,1
1,7,55.0,184,17.0,24.0,late,0
1,7,96.0,483,9.0,42.0,late,1
1,7,123.0,740,6.0,39.0,ontime,1
1,7,46.0,187,5.0,17.0,ontime,0
1,7,36.0,187,10.0,24.0,ontime,1
1,7,45.0,187,11.0,14.0,ontime,0
1,7,43.0,267,5.0,30.0,ontime,1
1,7,25.0,106,5.0,22.0,ontime,1
1,7,58.0,267,3.0,22.0,ontime,1
1,7,46.0,267,5.0,17.0,ontime,1
1,7,57.0,267,11.0,19.0,ontime,0
1,7,85.0,508,15.0,29.0,late,1
1,7,64.0,340,8.0,36.0,ontime,1
1,1,51.0,213,6.0,18.0,late,1
1,1,115.0,760,10.0,28.0,late,1
1,1,92.0,508,9.0,24.0,late,1
1,1,42.0,184,5.0,28.0,late,1
1,1,103.0,760,9.0,12.0,late,0
1,1,103.0,589,1.0,34.0,late,1
1,1,41.0,184,6.0,38.0,ontime,1
1,1,70.0,425,7.0,17.0,ontime,1
1,1,64.0,267,12.0,27.0,late,0
1,1,189.0,1522,11.0,15.0,late,0
1,1,29.0,94,4.0,27.0,ontime,1
1,1,96.0,589,10.0,18.0,late,0
1,1,111.0,766,9.0,25.0,late,0
1,1,90.0,740,10.0,80.0,late,0
1,1,88.0,589,9.0,10.0,late,0
1,1,95.0,740,10.0,15.0,late,0
1,1,136.0,740,8.0,67.0,late,1
1,1,30.0,144,6.0,37.0,ontime,1
1,1,39.0,184,10.0,14.0,late,0
1,1,125.0,740,15.0,25.0,late,1
1,1,82.0,340,8.0,24.0,ontime,0
1,1,93.0,589,1.0,12.0,ontime,1
1,1,97.0,589,10.0,28.0,ontime,1
1,1,87.0,508,13.0,18.0,late,0
1,1,79.0,425,5.0,41.0,late,1
1,2,98.0,760,13.0,19.0,late,0
1,2,201.0,1522,12.0,15.0,late,0
1,2,207.0,1522,5.0,43.0,ontime,1
1,2,78.0,426,8.0,18.0,ontime,0
1,2,105.0,740,8.0,43.0,late,0
1,2,91.0,740,5.0,24.0,ontime,0
1,2,40.0,184,12.0,11.0,late,0
1,2,125.0,740,9.0,46.0,ontime,1
1,2,126.0,740,10.0,54.0,late,1
1,2,53.0,187,10.0,17.0,late,0
1,2,107.0,589,1.0,34.0,late,1
1,3,47.0,213,4.0,40.0,ontime,1
1,3,51.0,87,5.0,14.0,late,0
1,3,50.0,264,2.0,38.0,ontime,1
1,3,42.0,288,7.0,13.0,ontime,0
1,3,114.0,760,21.0,20.0,ontime,1
1,3,87.0,264,13.0,20.0,late,0
1,3,93.0,508,5.0,37.0,ontime,1
1,3,99.0,760,9.0,20.0,ontime,0
1,3,129.0,740,7.0,33.0,late,1
1,3,145.0,892,3.0,64.0,late,1
1,3,98.0,589,20.0,11.0,ontime,0
1,3,117.0,892,5.0,15.0,ontime,0
1,3,92.0,740,4.0,18.0,ontime,0
1,3,62.0,340,3.0,7.0,ontime,0
1,3,89.0,508,4.0,43.0,late,1
1,3,137.0,766,9.0,18.0,ontime,0
1,3,68.0,267,15.0,19.0,late,0
1,3,64.0,288,6.0,68.0,late,1
1,3,122.0,740,6.0,30.0,late,1
1,3,131.0,740,10.0,81.0,late,1
1,3,78.0,340,5.0,52.0,late,1
1,3,60.0,340,11.0,15.0,ontime,0
1,3,26.0,106,7.0,20.0,ontime,1
1,3,125.0,766,9.0,30.0,late,1
1,4,48.0,213,4.0,32.0,late,1
1,4,52.0,213,3.0,19.0,ontime,1
1,4,49.0,288,10.0,1.0,late,0
